0.00000000e+00, 0.00000000e+00
1.82321055e-05, 7.32459826e-03
3.64675398e-05, 1.24875968e-02
5.47062991e-05, 1.82380304e-02
7.29483872e-05, 2.40583587e-02
9.11938114e-05, 2.98255216e-02
1.09442561e-04, 3.55123430e-02
1.27694642e-04, 4.11141105e-02
1.45950049e-04, 4.66313586e-02
1.64208803e-04, 5.20658083e-02
1.82470874e-04, 5.74193485e-02
2.00736278e-04, 6.26938865e-02
2.19005029e-04, 6.78913221e-02
2.37277098e-04, 7.30134547e-02
2.55552528e-04, 7.80620426e-02
2.73831276e-04, 8.30387473e-02
2.92113342e-04, 8.79452676e-02
3.10398784e-04, 9.27831605e-02
3.28687544e-04, 9.75539461e-02
3.46979621e-04, 1.02259159e-01
3.65275075e-04, 1.06900238e-01
3.83573846e-04, 1.11478552e-01
4.01875965e-04, 1.15995519e-01
4.20181401e-04, 1.20452404e-01
4.38490213e-04, 1.24850519e-01
4.56802343e-04, 1.29191071e-01
4.75117820e-04, 1.33475304e-01
4.93436644e-04, 1.37704372e-01
5.11758844e-04, 1.41879439e-01
5.30084304e-04, 1.46001562e-01
5.48413198e-04, 1.50071830e-01
5.66745410e-04, 1.54091328e-01
5.85080939e-04, 1.58060998e-01
6.03419845e-04, 1.61981851e-01
6.21762068e-04, 1.65854916e-01
6.40107668e-04, 1.69681028e-01
6.58456585e-04, 1.73461169e-01
6.76808879e-04, 1.77196160e-01
6.95164548e-04, 1.80886924e-01
7.13523536e-04, 1.84534252e-01
7.31885841e-04, 1.88138977e-01
7.50251522e-04, 1.91701829e-01
7.68620579e-04, 1.95223719e-01
7.86992954e-04, 1.98705271e-01
8.05368705e-04, 2.02147290e-01
8.23747832e-04, 2.05550492e-01
8.42130277e-04, 2.08915547e-01
8.60516098e-04, 2.12243125e-01
8.78905237e-04, 2.15533942e-01
8.97297810e-04, 2.18788594e-01
9.15693643e-04, 2.22007722e-01
9.34092910e-04, 2.25191981e-01
9.52495495e-04, 2.28341907e-01
9.70901456e-04, 2.31458142e-01
9.89310793e-04, 2.34541267e-01
1.00772339e-03, 2.37591743e-01
1.02613948e-03, 2.40610257e-01
1.04455883e-03, 2.43597269e-01
1.06298167e-03, 2.46553287e-01
1.08140777e-03, 2.49478847e-01
1.09983725e-03, 2.52374411e-01
1.11827010e-03, 2.55240530e-01
1.13670633e-03, 2.58077681e-01
1.15514593e-03, 2.60886282e-01
1.17358880e-03, 2.63666719e-01
1.19203515e-03, 2.66419530e-01
1.21048477e-03, 2.69145191e-01
1.22893788e-03, 2.71844089e-01
1.24739425e-03, 2.74516553e-01
1.26585399e-03, 2.77163118e-01
1.28431723e-03, 2.79784083e-01
1.30278373e-03, 2.82379925e-01
1.32125360e-03, 2.84950942e-01
1.33972685e-03, 2.87497580e-01
1.35820347e-03, 2.90020138e-01
1.37668347e-03, 2.92519093e-01
1.39516685e-03, 2.94994682e-01
1.41365360e-03, 2.97447205e-01
1.43214373e-03, 2.99877137e-01
